,OPIS Truckstop ID,Address,Truckstop Name,City,State,Rack ID,Retail Price,lat_truck,lon_truck,lat_city,lon_city
0,7,"I-44, EXIT 283 & US-69",WOODSHED OF BIG CABIN,Big Cabin,OK,307,3.00733333,36.565943,-95.2213604,36.5378651,-95.221358
1,9,"I-94, EXIT 143 & US-12 & SR-21",KWIK TRIP #796,Tomah,WI,420,3.28733333,44.018545,-90.506402,43.9785759,-90.50402140000001
2,20,"I-8, EXIT 119 & SR-85",PILOT TRAVEL CENTER #1243,Gila Bend,AZ,930,3.899,32.9296203,-112.6732116,32.9478236,-112.7168305
3,28,"I-540, EXIT 12 & US-71",LITTLEFIELD EXPRESS #2,Fort Smith,AR,645,3.399,35.3843722,-94.42096459999999,35.3843722,-94.42096459999999
4,35,US-46,ACI TRUCK STOP,Columbia,NJ,90,3.079,40.8972511,-75.0704332,40.9256446,-75.0931123
5,36,"I-81, EXIT 273 & SR-703/SR-292",SHENANDOAH TRUCK CENTER,Mount Jackson,VA,60,2.899,38.74594820000001,-78.6422377,38.74594820000001,-78.6422377
6,44,"I-35,  EXIT 271",CIRCLE K #2612042,Jarrell,TX,595,2.919,30.7756199,-97.62743259999999,30.824616,-97.6043608
7,46,"I-85,  EXIT 22 & CR-138",PETRO STOPPING CENTER #348,Shorter,AL,720,3.154,32.3951313,-85.9183541,32.3951313,-85.9183541
8,49,"I-65, EXIT 50 & US-50 & US-31",TA SEYMOUR TRAVEL CENTER,Seymour,IN,415,3.959,38.9592201,-85.8902547,38.9592201,-85.8902547
9,50,"I-29 & I-80, EXIT 3",TA COUNCIL BLUFFS TRAVEL CENTER,Council Bluffs,IA,319,3.72566666,41.2287796,-95.8536288,41.2619444,-95.8608333
10,56,"I-94, EXIT 182 & US-83",TOPS TRUCK STOP,Sterling,ND,390,3.51566666,46.8306753,-100.2897433,46.8514103,-100.2596189
11,75,US-50,Good 2 Go #709,Montrose,CO,810,3.424,38.4914306,-107.8907383,38.4783198,-107.8761738
12,77,US-13,OASIS TRAVEL PLAZA,Laurel,DE,243,3.229,38.5606867,-75.5561278,38.5565041,-75.5713141
13,79,US-13 & US-40,DELAWARE TRUCK PLAZA,New Castle                              ,DE,243,3.249,39.6557338,-75.6121185,39.6620397,-75.5668166
14,81,"I-75, EXIT 224",One9 #89,Ellenton,FL,225,3.439,27.528203,-82.5123782,27.521705,-82.5275963
15,85,"I-70, EXIT 234",DOWNIEVILLE FUEL STOP,Dumont,CO,800,3.459,39.7666543,-105.6144452,39.7662054,-105.5980035
16,91,"I-20 & ST 22, EXIT 55",MOLLYS FOOD & FUEL,Crawfordville                           ,GA,135,3.499,33.5280178,-82.9094427,33.5540209,-82.8959785
17,105,"I-75, EXIT 144-B",TA SAGINAW I 75 TRAVEL CENTER,Bridgeport,MI,260,3.3373333333333335,43.3689268,-83.8693879,43.3609299,-83.8851117
18,118,"I-40, EXIT 359",Lupton Truck Stop #567,Lupton,AZ,580,3.299,35.3539127,-109.0537017,35.3539127,-109.0537017
19,121,"I-10, EXIT 200",PETRO STOPPING CENTER #306,Eloy,AZ,930,3.474,32.8124423,-111.6701914,32.7558962,-111.554844
20,127,US-41,CIRCLE K #4700095,Henderson,KY,340,3.609,37.8361538,-87.59001339999999,37.8361538,-87.59001339999999
21,128,"I-57 & I-70, EXIT 159",THE EFFINGHAM CHROME SHOP,Effingham                               ,IL,510,3.4323333333333337,39.1214255,-88.5725361,39.1200418,-88.5433829
22,135,"I-80, EXIT 27",LOVES TRAVEL STOP #766,Atkinson,IL,290,3.4756666666666667,41.4106383,-90.0159343,41.4208678,-90.0151121
23,147,"I-69, EXIT 234 & SR-67",SPEEDWAY #8039,Daleville,IN,375,3.624,40.1135856,-85.572555,40.12303259999999,-85.55724289999999
